THE,136463
TO,100060
AND,63877
OF,57686
A,48162
ENRON,46911
IN,44875
FOR,39883
ECT,34240
ON,32592
I,31493
YOU,29719
IS,29455
THAT,25902
S,25188
SUBJECT,23533
THIS,22794
BE,21936
WITH,20779
WILL,20622
WE,20167
HAVE,18963
AT,17453
FROM,17232
IT,17060
AS,16701
HOU,16432
ARE,15368
BY,15332
IF,12213
YOUR,11929
OR,11849
PLEASE,11057
NOT,10752
COM,10620
AM,10086
WOULD,9595
HAS,8959
ME,8829
AN,8722
VINCE,8600
CC,8386
RE,8235
WAS,8212
PM,8139
CAN,7863
OUR,7795
GAS,7630
ALL,7560
COMPANY,7404
NEW,7320
ENERGY,7157
ANY,7142
SAID,6549
ITS,6522
THANKS,6186
CORP,6078
BUT,6075
ABOUT,5826
KNOW,5791
J,5701
THEY,5606
WHICH,5508
UP,5472
POWER,5392
HE,5373
MAY,5313
BEEN,5311
E,5253
TIME,5163
MY,5134
MORE,4968
DEAL,4965
DO,4820
ALSO,4811
BUSINESS,4806
KAMINSKI,4798
T,4789
HOUSTON,4733
THERE,4660
NEED,4607
SOME,4511
ONE,4459
MESSAGE,4376
INFORMATION,4364
D,4339
LET,4330
GROUP,4321
SO,4303
THEIR,4295
WHAT,4295
TRADING,4276
OUT,4205
SHOULD,4142
THESE,4088
YEAR,4086
GET,3970
MEETING,3902
US,3901
SENT,3839
RISK,3820
MARKET,3807
LIKE,3793
OTHER,3786
WEEK,3763
M,3715
FORWARDED,3652
CALL,3596
PRICE,3547
MANAGEMENT,3516
DAY,3507
HAD,3504
WERE,3460
ATTACHED,3341
SEE,3320
NO,3320
WHO,3305
COULD,3293
INTO,3278
QUESTIONS,3204
LAST,3188
WHEN,3174
MAIL,3144
FINANCIAL,3134
RESEARCH,3070
CREDIT,2980
P,2951
TH,2950
ORIGINAL,2877
THAN,2839
OVER,2839
AFTER,2814
JOHN,2771
WORK,2721
TWO,2682
DYNEGY,2664
NOW,2646
HIS,2630
THEM,2620
STOCK,2620
NEXT,2611
MAKE,2602
FOLLOWING,2599
C,2578
FORWARD,2567
HPL,2549
BILLION,2545
ONLY,2533
JUST,2526
METER,2516
VERY,2512
MILLION,2493
INC,2483
WELL,2424
CONTACT,2424
HOW,2405
FRIDAY,2376
JONES,2359
HERE,2341
FIRST,2341
BACK,2328
THROUGH,2308
REPORT,2305
THINK,2292
PROJECT,2279
DEVELOPMENT,2274
OFFICE,2253
TEAM,2223
HELP,2222
TODAY,2215
LIST,2174
REQUEST,2128
EMAIL,2127
MONDAY,2105
CONTRACT,2098
PER,2097
MMBTU,2092
MARKETS,2088
TAKE,2084
SERVICE,2082
SYSTEM,2071
BASED,2058
USE,2050
MARK,2038
PROCESS,2032
HTTP,2024
LOUISE,2022
WANT,2022
L,1980
NUMBER,1976
REVIEW,1971
BELOW,1970
SERVICES,1966
ENA,1957
DATE,1953
CONFERENCE,1950
EES,1945
WWW,1939
MONTH,1933
EACH,1929
REGARDS,1929
THANK,1922
DAREN,1912
DOW,1911
COMPANIES,1901
OFF,1885
LON,1857
ET,1844
CALIFORNIA,1842
DAVID,1839
LOOK,1822
TEXAS,1822
DON,1817
PEOPLE,1816
GOOD,1803
UNDER,1796
GO,1795
AVAILABLE,1785
NATURAL,1768
END,1748
PRICES,1745
BEST,1740
SHARES,1739
WEDNESDAY,1735
MOST,1735
SHIRLEY,1717
PROVIDE,1715
DOWN,1713
MUCH,1712
DATA,1707
EDU,1706
THURSDAY,1704
GLOBAL,1702
STILL,1700
BOTH,1699
TERM,1688
APRIL,1682
CAPACITY,1679
SINCE,1678
HIM,1675
ORDER,1665
LONDON,1662
X,1659
CHANGE,1649
CHANGES,1649
ISSUES,1644
THEN,1638
MIKE,1632
SET,1631
STATE,1627
WORKING,1627
BEFORE,1621
SUPPORT,1614
AGREEMENT,1611
BECAUSE,1610
DEALS,1606
